Jenis Kelamin;Umur;Pendapatan-per-bulan;skor-pengeluaran;Menikah;Kota;Promo;HariFav;FavFlavor
Wanita;25;23360655;34;0;Tangerang;3;Senin;4
Wanita;50;10245901;55;1;Jakarta;1;Sabtu;2
Wanita;46;15983606;44;1;Jakarta;2;Rabu;6
Wanita;42;7786885;17;1;Tangerang;3;Sabtu;4
Wanita;28;25000000;40;1;Jakarta;2;Senin;5
Wanita;45;15983606;53;1;Jakarta;1;Sabtu;3
Pria;28;25409836;97;1;Depok;0;Senin;0
Wanita;36;29508196;27;1;Tangerang;3;Minggu;5
Pria;59;22950819;11;1;Tangerang;3;Minggu;7
Pria;48;18852459;42;1;Jakarta;2;Minggu;1
Pria;40;29508196;13;1;Tangerang;3;Senin;1
Pria;58;29918032;15;1;Tangerang;3;Sabtu;0
Wanita;30;29918032;86;1;Depok;1;Minggu;5
Wanita;60;14344262;56;1;Jakarta;1;Minggu;7
Wanita;51;21311475;43;1;Jakarta;2;Minggu;3
Wanita;40;22131147;58;1;Jakarta;1;Sabtu;2
Wanita;29;10245901;42;1;Jakarta;2;Jumat;5
Wanita;43;13524590;50;1;Jakarta;1;Rabu;1
Wanita;34;25819672;22;1;Tangerang;3;Jumat;0
Pria;32;50000000;18;1;Tangerang;3;Senin;6
Wanita;42;20491803;43;1;Jakarta;2;Sabtu;4
Wanita;54;5327868;14;1;Tangerang;3;Sabtu;4
Pria;35;3688524;35;1;Tangerang;2;Senin;6
Wanita;35;1639344;99;1;Depok;0;Sabtu;0
Wanita;19;20491803;50;0;Jakarta;1;Senin;8
Wanita;32;18442622;42;1;Jakarta;2;Senin;7
Pria;20;2459016;66;0;Depok;1;Kamis;7
Wanita;21;6147540;73;1;Depok;1;Senin;5
Pria;39;22131147;91;1;Depok;0;Sabtu;0
Wanita;23;15983606;52;0;Jakarta;1;Senin;7
Pria;52;3278688;29;1;Tangerang;3;Sabtu;0
Wanita;47;19672131;50;1;Jakarta;1;Sabtu;3
Pria;47;22950819;9;1;Tangerang;3;Sabtu;4
Pria;52;19262295;59;1;Jakarta;1;Sabtu;8
Wanita;49;15983606;42;1;Jakarta;2;Minggu;2
Wanita;29;34016393;88;1;Depok;1;Selasa;0
Pria;2;18032786;41;0;Jakarta;2;Senin;0
Pria;53;7377049;4;1;Tangerang;3;Minggu;3
Wanita;50;11475409;45;1;Jakarta;2;Minggu;7
Wanita;34;36065573;23;1;Tangerang;3;Senin;1
Pria;19;24180327;10;0;Tangerang;3;Selasa;5
Wanita;41;36065573;17;1;Tangerang;3;Sabtu;3
Pria;29;5327868;82;1;Depok;1;Senin;1
Wanita;47;18442622;101;1;Jakarta;2;Minggu;7
Pria;43;13524590;51;1;Jakarta;1;Kamis;6
Wanita;23;22540983;29;1;Tangerang;3;Selasa;8
Pria;55;19672131;43;1;Jakarta;2;Minggu;5
Wanita;44;25819672;20;1;Tangerang;3;Sabtu;9
Pria;18;7377049;92;0;Depok;0;Selasa;0
Wanita;31;819672;40;1;Jakarta;1;Minggu;6
Pria;20;23770491;5;0;Tangerang;3;Senin;6
Wanita;35;2459016;35;1;Tangerang;3;Senin;5
Wanita;49;19262295;48;1;Jakarta;2;Minggu;2
Pria;43;22950819;35;1;Tangerang;2;Selasa;7
Wanita;35;24180327;72;1;Depok;1;Senin;4
Pria;20;18852459;49;0;Jakarta;2;Senin;5
Wanita;30;1639344;72;1;Depok;1;Senin;3
Wanita;50;21311475;57;1;Jakarta;1;Sabtu;1
Wanita;31;23360655;71;1;Depok;1;Senin;2
Pria;25;3688524;73;1;Depok;1;Senin;6
Pria;42;29098360;20;1;Tangerang;3;Minggu;7
Pria;34;25819672;1;1;Tangerang;3;Senin;0
Pria;38;22950819;75;1;Depok;1;Sabtu;7
Pria;19;13524590;59;0;Jakarta;1;Senin;5
Wanita;47;13934426;42;1;Jakarta;2;Minggu;0
Wanita;21;7377049;81;0;Depok;1;Senin;8
Wanita;56;26229508;35;1;Jakarta;2;Sabtu;8
Pria;37;25819672;1;1;Tangerang;3;Senin;1
Pria;30;34426229;97;1;Depok;1;Sabtu;0
Pria;59;31967213;14;1;Tangerang;3;Minggu;5
Pria;26;19262295;55;1;Jakarta;1;Rabu;0
Pria;35;31967213;90;1;Depok;0;Selasa;0
Wanita;35;3278688;98;1;Depok;0;Sabtu;0
Wanita;36;9016393;26;1;Tangerang;3;Sabtu;3
Wanita;38;25819672;76;1;Depok;1;Sabtu;1
Pria;28;29508196;75;1;Depok;1;Senin;5
Wanita;45;9426229;35;1;Jakarta;2;Minggu;0
Pria;32;24590163;93;1;Depok;0;Senin;0
Pria;19;20081967;46;0;Jakarta;2;Senin;8
Wanita;29;23770491;88;1;Depok;1;Senin;0
Pria;58;13934426;55;1;Jakarta;1;Sabtu;4
Wanita;29;26229508;83;1;Depok;1;Senin;2
Wanita;54;18032786;55;1;Jakarta;1;Minggu;3
Wanita;30;25819672;78;1;Depok;1;Sabtu;5
Pria;32;29508196;63;1;Jakarta;1;Sabtu;5
Pria;24;18442622;52;1;Jakarta;1;Selasa;8
Pria;32;45491803;74;1;Depok;1;Minggu;3
Wanita;27;12704918;51;1;Jakarta;1;Senin;4
Wanita;57;24590163;5;1;Tangerang;3;Minggu;8
Wanita;50;17622950;46;1;Jakarta;2;Sabtu;1
Pria;26;15983606;54;1;Jakarta;1;Senin;5
Wanita;36;36065573;85;1;Depok;1;Senin;4
Pria;43;25819672;17;1;Tangerang;3;Senin;5
Pria;25;25409836;12;1;Tangerang;3;Senin;8
Wanita;30;7786885;73;0;Depok;1;Senin;7
Wanita;22;17213114;55;0;Jakarta;1;Senin;8
Pria;32;23770491;73;1;Depok;1;Minggu;1
Pria;50;28688524;26;1;Tangerang;3;Minggu;4
Wanita;32;25409836;74;1;Depok;1;Sabtu;2
Wanita;47;43032786;16;1;Tangerang;3;Sabtu;2
Wanita;23;5737704;87;0;Depok;1;Senin;7
Pria;33;40163934;8;1;Tangerang;3;Senin;3
Wanita;21;0;81;0;Depok;1;Jumat;0
Wanita;46;4098360;5;1;Tangerang;3;Senin;7
Pria;19;0;39;0;Jakarta;2;Senin;3
Pria;56;11885245;46;1;Jakarta;2;Sabtu;4
Pria;57;12704918;56;1;Jakarta;1;Minggu;8
Wanita;52;29918032;13;1;Tangerang;3;Sabtu;2
Wanita;22;819672;76;1;Depok;1;Senin;0
Wanita;31;22540983;77;1;Depok;1;Senin;4
Pria;54;19672131;46;1;Jakarta;2;Sabtu;3
Wanita;31;9836065;61;1;Jakarta;1;Jumat;3
Pria;31;4098360;73;1;Depok;1;Senin;0
Pria;57;15983606;51;1;Jakarta;1;Minggu;5
Wanita;35;43032786;79;1;Depok;1;Senin;7
Wanita;23;1229508;94;1;Depok;0;Selasa;0
Pria;50;1639344;14;1;Tangerang;3;Minggu;6
